"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"ebbe3686-c190-436d-8514-419b1ded0b02","2017-07-16","b-l","-37.726","145.216","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"049e6269-179c-4389-bab4-ecc7d65aa042","2020-07-05","reiner","-37.9858191667","145.5898794444","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0849ae35-59ed-40dc-9fdc-638a552c13b8","2020-07-18","","-37.7","145.5","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"b3c912a0-7a6d-4203-a397-d51e2c0523b0","2015-07-19","","-37.8471522257","145.596092578","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"a2adfaa5-e166-4702-8b4c-238806330f81","2019-07-25","","-36.579229","149.828596","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"c93778c2-b333-4da6-bd54-44db46962a9f","2015-07-26","vuk","-38.0436753378","145.1324151018","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"65d3d9a5-953d-470d-9854-42ea5366c092","2020-07-02","tjh_9","-37.5892795","145.103791","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"00f278ff-00bd-4428-955c-7659694ba75c","2015-07-19","kenw","-37.8471522257","145.596092578","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"25e01a81-0c5e-4b70-8e6d-b05c91bdc8a3","2017-07-15","46112","-38.0175588604789","145.96886157989502","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0dd76a0a-7d87-4435-b1eb-c1620aff5e63","2020-07-26","","41.8","0.8","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"946f13a1-95a3-4910-b02b-8c3ffad0dc87","2016-07-17","kenharris","-38.35127","146.406097","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1997-07-31","","-41.279043132443384","148.35302979693762","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"ce3c73e3-f54d-4fd2-a994-fde649793180","2020-07-24","reiner","-37.7267152778","145.4986177778","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"499a8fff-d77e-4577-b2e8-0817dc2c7ec5","2020-07-04","pseudosarcasm","-41.4203755286","147.1729094239","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"50f04205-4b06-4415-8d91-654d5ade6a87","2019-07-10","","-36.932066","149.881757","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"152656cf-a196-4e15-87a0-3cb2b03f15d3","2020-07-05","reiner","-37.9854066667","145.59213","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"681ffcee-4fe2-4daa-b7c7-846724bdcd67","2019-07-31","zosterops99","-42.886834","147.302311","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"023bb676-e284-458d-b1c4-526bb78062d9","2019-07-26","maxcampbell","-36.579229","149.828596","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"651c6953-ffe0-4cc5-9604-763605374bcb","2016-07-17","","-38.35127","146.406097","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","","","-42.89","147.29","false","false","false","false","true","false","false","false","false","false","true","true","false","false","false"
"","","","-38.0","145.08","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"5d974ab4-e28a-4102-93a0-22c75f23d328","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"f7aa3370-cbfe-4aae-8058-b6846469acdc","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"e36f2011-da14-4da1-b492-bce6ad87c314","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"59fba634-959c-42fa-b798-97f718c73fb1","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","","","-38.0","145.08","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"5206c9d6-9329-4f27-8418-0f042fd60b33","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"528938c0-4464-4c70-af96-9c708ff9bed2","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"0182bc5a-ab51-4fd2-a285-5bf342f662af","","","-37.8","144.98","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","","","-38.0","145.08","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"8467a422-2a3f-4d13-96e6-a828a06bb843","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","2019-02-23","","-33.50833","150.37749","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"ca867ac4-28fd-481c-9099-362a74859d8f","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"9496abc3-f0ce-4add-9c35-8a0023e4c95e","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"","","","-42.89","147.29","false","false","false","false","true","false","false","false","false","false","true","true","false","false","false"
"7e972acf-ccad-4368-b865-f223c636284f","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"8d5b463b-d4dd-4dd1-baad-b51ee8e42a68","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"76cb72e1-6184-4d06-b707-456a4d502f13","","","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"11e87d72-1957-421c-b31a-fa5f28b50ca6","2020-02-29","reiner","-37.8746140103","145.3606591127","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"3992b517-b8a4-47a3-9c45-a0bffa5970f3","2019-02-17","","-37.9","145.1","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"c29852fb-cdaf-42c3-8f94-2e2a7cea0260","2015-02-26","lrogan","-37.7338037826","145.2108583494","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"a1d995eb-de3f-4e7d-989e-f89e53083af1","2019-02-15","","-36.57725","149.756604","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"8ef32244-6441-47c0-9102-067fc00ff5f2","2021-02-28","ash_and","-37.782695","144.942733","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"5bca6431-133f-44f0-a95c-7088e9db87fb","2021-02-25","pethum","-37.8126346175","145.2367569811","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2014-02-24","","-38.082","147.086","false","false","true","true","false","false","false","false","false","false","false","false","false","false","false"
"","1989-02-28","","-42.52759845783579","145.7704939556365","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-02-04","","-37.75","145.22","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"3b8a72c4-32f1-499f-9ee9-c18fdc20fc67","2020-02-10","","-35.0","138.6","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"01389cb7-5b88-4286-a236-0402dd865de0","2020-02-29","","-35.1","138.9","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"700dd757-2c58-40ed-bc3f-3289a9935708","2021-02-14","carl_ramirez","-33.7729457049","150.6639018282","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"033d0ea9-de39-429c-a2de-81be9c757044","2015-02-20","kenharris","-38.388","146.27245","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"62b872c7-25c4-4c98-a300-c6dcf1bce7af","2018-02-09","","-37.0","143.7","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"","2014-02-24","","-31.981179","115.81991","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"d30c3b81-1bff-4c6c-bbc4-aaf447c0e337","2020-02-23","reiner","-37.7509234167","145.6986965833","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
